End Station Id,End Station Longitude,End Station Latitude,zip_codes,Total Population,Percent Female,Percent Male,Percent Bachelors Holders,Percent In Poverty
72,-73.99392888,40.76727216,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
173,-73.98452729,40.76068327,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
281,-73.97371465,40.7643971,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
422,-73.988038,40.770513,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
423,-73.98690506,40.76584941,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
447,-73.9851615,40.76370739,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
450,-73.98788205,40.76227205,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
468,-73.98192338,40.7652654,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
469,-73.98268129,40.76344058,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
480,-73.99061728,40.76669671,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
500,-73.98336183,40.76228826,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
513,-73.988639,40.768254,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
520,-73.97648516,40.75992262,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
530,-73.99046034,40.77149671,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
2006,-73.97634151,40.76590936,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
3443,-73.97982001,40.76132983,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
3699,-73.98917958,40.76360468,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
3724,-73.979069,40.76674056,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
3809,-73.978458,40.763201,10019,43687,48.48124156,48.64605031,29.18030535,11.49541053
79,-74.00666661,40.71911552,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
146,-74.0091059,40.71625008,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
248,-74.00771779,40.72185379,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
249,-74.0090009,40.71870987,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
257,-74.00247214,40.71939226,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
268,-73.99973337,40.71910537,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
276,-74.0104554,40.71748752,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
320,-74.005549,40.717571,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
328,-74.00965965,40.72405549,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
355,-73.99974372,40.71602118,10013,27379,47.36111618,48.57372439,22.06800833,12.21008802
